Gene,Drug,test.ROC.AUC,Varimp.Score
CDH2,A443654,1,92.0785057154954
LOXL1,A443654,1,92.0785057154954
OPN3,A443654,1,92.0785057154954
PEX14,A443654,1,92.0785057154954
SLIT2,A443654,1,92.0785057154954
SYNJ2,A443654,1,83.4668808466258
CDC42BPA,A443654,0.85,86.2535535904251
MEST,A443654,0.85,86.2535535904251
SLC16A1,A443654,0.85,86.2535535904251
APLP1,A443654,0.9,85.1283966504887
APP,A443654,0.9,97.3910479206939
ITGA5,A443654,0.9,100
LAD1,A443654,0.9,92.5641983252443
NR4A3,A443654,0.9,85.1283966504887
PTPN6,A443654,0.9,85.1283966504887
TGFBR3,A443654,0.9,85.1283966504887
TPD52L1,A443654,0.9,98.695523960347
ITGA2,A443654,0.85,82.6831730210728
MAP1B,A443654,0.85,91.1723954538617
MREG,A443654,0.85,91.1723954538617
BASP1,A443654,1,85.3198951014858
BLVRB,A443654,1,85.3198951014858
HOMER2,A443654,1,85.3198951014858
HSPB8,A443654,1,85.3198951014858
MALL,A443654,1,85.3198951014858
COL5A1,A443654,0.9,85.3198951014858
DUSP4,A443654,0.9,100
IL18,A443654,0.9,85.3198951014858
PKP3,A443654,0.9,85.3198951014858
VDR,A443654,0.9,89.6077449580258
VTN,A443654,0.9,82.8566240024527
CALB2,A443654,1,90.0627935526585
SYT12,A443654,1,80.4053261320031
TRIB2,A443654,1,82.5592575998131
KLF4,A443654,1,83.7384988357663
ISG20L2,A443654,0.95,88.1627166607435
TFAP2C,A443654,0.95,86.9974545813724
LPAR1,A443654,0.95,82.3920956996558
SMAD7,A443654,0.85,85.1283966504887
IFIH1,A443654,0.85,89.8482126339166
NOTCH2,A443654,0.85,89.8482126339166
TGFB1,A443654,0.9,100
THSD4,A443654,0.9,97.4246428378102
DAB2,A443654,1,85.3198951014858
EGR1,A443654,1,100
PLAT,A443654,1,91.372268969648
RIPK2,A443654,1,85.3198951014858
S100A10,A443654,1,85.3198951014858
LGALS1,A443654,1,86.9468481507628
MTA1,A443654,1,91.8410763763691
SDC1,A443654,1,82.1389322864948
DUSP5,A443654,0.95,88.3057650443162
PRKAB1,A443654,0.85,93.6462495749117
ATF3,A443654,0.9,90.6886034870538
ADAM8,A443654,0.8,82.7940424902625
ANO1,A443654,0.8,82.7940424902625
CD82,A443654,0.8,96.9815279787598
KLF6,A443654,0.8,82.7940424902625
MAPK13,A443654,0.8,100
P2RY2,A443654,0.8,100
PERP,A443654,0.8,82.7940424902625
RB1,A443654,0.8,98.4907639893799
RBPMS,A443654,0.8,82.7940424902625
SYNE1,A443654,0.8,82.7940424902625
ATRX,A443654,1,83.4668808466258
BMP1,A443654,0.8,98.695523960347
KRT19,A443654,0.8,85.1283966504887
RAB17,A443654,0.8,85.1283966504887
ST14,A443654,0.8,85.1283966504887
CXCL2,A443654,0.9,89.7293861310516
LDHB,A443654,0.9,88.5588877884443
ABCC1,A443654,0.8,100
FOS,A443654,1,83.2872547429521
KAZN,A443654,0.8,90.7974704335982
MAST4,A443654,0.8,90.7974704335982
TNNI1,A443654,0.8,99.4561577614517
COL12A1,A443654,0.85,98.4907639893799
DUSP1,A443654,0.85,82.7940424902625
HES1,A443654,0.85,100
ISCU,A443654,0.85,82.7940424902625
UPP1,A443654,0.85,82.7940424902625
DKK1,A443654,0.95,85.1283966504887
B4GALT5,A443654,0.95,100
IGFBP2,A443654,0.9,98.9309886121351
CBLB,Abemaciclib,0.925,94.652682147891
CTSS,Abemaciclib,0.925,80.7575691193233
CYFIP2,Abemaciclib,0.925,80.7575691193233
EPHB2,Abemaciclib,0.925,80.7575691193233
GADD45B,Abemaciclib,0.925,80.7575691193233
GPRC5B,Abemaciclib,0.925,100
IL32,Abemaciclib,0.925,93.4338598334407
INHBA,Abemaciclib,0.925,80.7575691193233
ITGA5,Abemaciclib,0.925,80.7575691193233
ITGBL1,Abemaciclib,0.925,80.7575691193233
KRT15,Abemaciclib,0.925,80.7575691193233
KRT5,Abemaciclib,0.925,80.7575691193233
MAN1A1,Abemaciclib,0.925,80.7575691193233
ME1,Abemaciclib,0.925,80.7575691193233
MET,Abemaciclib,0.925,93.4338598334407
NDRG2,Abemaciclib,0.925,80.7575691193233
PTCH1,Abemaciclib,0.925,80.7575691193233
QSOX1,Abemaciclib,0.925,80.7575691193233
SKAP2,Abemaciclib,0.925,80.7575691193233
TGFBI,Abemaciclib,0.925,94.652682147891
ALDH1A3,Abemaciclib,0.9,84.592940623112
CALM3,Abemaciclib,0.9,91.2939655796662
CTSH,Abemaciclib,0.9,90.1183927390647
DOCK4,Abemaciclib,0.9,100
IRS2,Abemaciclib,0.9,91.2939655796662
MAP6,Abemaciclib,0.9,91.2939655796662
TENM2,Abemaciclib,0.9,91.2939655796662
TRO,Abemaciclib,0.9,90.1183927390647
AKT3,Abemaciclib,0.8,100
DCBLD2,Abemaciclib,0.8,98.6103180337008
FYN,Abemaciclib,0.8,84.1570114309907
GAD1,Abemaciclib,0.8,84.1570114309907
GALM,Abemaciclib,0.8,97.2206360674017
GPC4,Abemaciclib,0.8,84.1570114309907
RXRA,Abemaciclib,0.8,98.6103180337008
SLC3A2,Abemaciclib,0.8,84.1570114309907
SNX14,Abemaciclib,0.8,84.1570114309907
TPM1,Abemaciclib,0.8,84.1570114309907
TSC1,Abemaciclib,0.8,84.1570114309907
TUBG1,Abemaciclib,0.8,84.1570114309907
ELOVL5,Abemaciclib,0.9,82.3920956996558
HADH,Abemaciclib,0.9,83.4668808466258
SRC,Abemaciclib,0.9,100
COL7A1,Abemaciclib,0.95,89.2735102865858
DAB2,Abemaciclib,0.95,89.2735102865858
ETS1,Abemaciclib,0.95,90.549595203655
FBXO4,Abemaciclib,0.95,83.2756292011843
NRP1,Abemaciclib,0.95,90.549595203655
WNK4,Abemaciclib,0.95,100
ZFPM2,Abemaciclib,0.95,90.549595203655
AMMECR1,Abemaciclib,0.8,98.695523960347
ARG1,Abemaciclib,0.8,85.1283966504887
CDH1,Abemaciclib,0.8,85.1283966504887
LGALS1,Abemaciclib,0.8,100
SWAP70,Abemaciclib,0.8,85.1283966504887
WRAP73,Abemaciclib,0.8,85.1283966504887
BMP1,Abemaciclib,0.95,82.5592575998131
CD59,Abemaciclib,0.95,81.4822918659081
DNMBP,Abemaciclib,0.95,92.0091635077428
ITGAV,Abemaciclib,0.95,81.4822918659081
LIF,Abemaciclib,0.95,82.5592575998131
MAP3K1,Abemaciclib,0.95,82.5592575998131
TGFA,Abemaciclib,0.95,81.4822918659081
TGFB1,Abemaciclib,0.95,100
AOX1,Abemaciclib,0.975,91.5729703305031
AHCY,Abemaciclib,0.8,98.8308204210506
ANGPTL4,Abemaciclib,0.8,86.6708360951504
CD83,Abemaciclib,0.8,86.6708360951504
EPB41L2,Abemaciclib,0.8,86.6708360951504
ITGB2,Abemaciclib,0.8,100
LCLAT1,Abemaciclib,0.8,98.8308204210506
MMD,Abemaciclib,0.8,98.8308204210506
NFS1,Abemaciclib,0.8,86.6708360951504
NMT1,Abemaciclib,0.8,86.6708360951504
SPRY4,Abemaciclib,0.8,86.6708360951504
TSPYL2,Abemaciclib,0.8,86.6708360951504
CXCR6,Abemaciclib,0.9,90.47275645327
ETV5,Abemaciclib,0.9,89.2769621730545
GCA,Abemaciclib,0.9,99.4437779705492
PRKCD,Abemaciclib,0.9,100
SLC2A3,Abemaciclib,0.9,90.47275645327
PRKG2,Abemaciclib,0.95,83.2533067018671
SMPDL3A,Abemaciclib,0.95,100
CTSC,Abemaciclib,0.95,100
PLAG1,Abemaciclib,0.95,89.3822074633053
CENPA,Abemaciclib,0.95,86.1048869714324
G0S2,Abemaciclib,0.95,86.1048869714324
IRS1,Abemaciclib,0.95,100
LIPA,Abemaciclib,0.95,98.7811776855497
MAOA,Abemaciclib,0.95,86.1048869714324
TGFB2,Abemaciclib,0.95,98.7811776855497
EDN1,Abemaciclib,1,85.3198951014858
SPON1,Abemaciclib,1,100
AKAP10,Abemaciclib,0.8,80.1424209846507
CXCL1,Abemaciclib,0.8,80.1424209846507
GMPPA,Abemaciclib,0.8,80.1424209846507
HKDC1,Abemaciclib,0.8,80.1424209846507
IL15,Abemaciclib,0.8,92.4675757098587
IL18,Abemaciclib,0.8,80.1424209846507
IP6K2,Abemaciclib,0.8,91.3864636975094
IRF2,Abemaciclib,0.8,80.1424209846507
LPAR1,Abemaciclib,0.8,80.1424209846507
OSMR,Abemaciclib,0.8,92.4675757098587
POM121,Abemaciclib,0.8,80.1424209846507
RAB40C,Abemaciclib,0.8,100
SLC37A4,Abemaciclib,0.8,90.3053516851602
TNFRSF11B,Abemaciclib,0.8,91.3864636975094
CSAD,Abemaciclib,0.9,88.0332190011819
GATA3,Abemaciclib,0.9,88.0332190011819
LYPD3,Abemaciclib,0.9,100
ISCU,Abemaciclib,0.85,89.3822074633053
SAT1,Abemaciclib,0.85,89.3822074633053
EHD1,Abemaciclib,0.95,83.945178790151
VCAN,Abemaciclib,0.95,89.5055923838693
CASP3,Abemaciclib,0.9,87.628082019857
CD81,Abemaciclib,0.9,98.8104430509823
DENND5A,Abemaciclib,0.9,87.628082019857
LAMC1,Abemaciclib,0.9,87.628082019857
BMP2,Abemaciclib,0.85,85.3198951014858
CD44,Abemaciclib,0.85,85.3198951014858
CHST12,Abemaciclib,0.85,85.3198951014858
DPP4,Abemaciclib,0.85,85.3198951014858
CAT,Abemaciclib,0.85,100
RNF4,Abemaciclib,0.85,90.7974704335982
ACP2,Abemaciclib,0.85,100
NT5E,Abemaciclib,0.85,90.7974704335982
CTSL,Abemaciclib,0.85,100
NFIL3,Abemaciclib,0.85,91.7217985073412
TFPI2,Abemaciclib,0.85,81.7447246935078
ALDH2,Abemaciclib,0.9,82.3920956996558
GFPT2,Abemaciclib,0.9,100
IL1R1,Abemaciclib,0.9,83.4668808466258
P4HA2,Abemaciclib,0.9,82.3920956996558
SRD5A3,Abemaciclib,0.9,82.3920956996558
STC1,Abemaciclib,0.9,82.3920956996558
CLDN4,Abemaciclib,0.8,92.6997839729068
CTSO,Abemaciclib,0.95,86.4328726901418
EGLN3,Abemaciclib,0.95,86.4328726901418
GABARAPL1,Abemaciclib,0.95,86.4328726901418
LAMB3,Abemaciclib,0.95,86.4328726901418
ETV1,Abemaciclib,0.875,90.3574514087488
S100A4,Abemaciclib,0.875,90.3574514087488
ADAM19,Abemaciclib,0.85,89.2769621730545
CERCAM,Abemaciclib,0.85,91.6685507334855
DNTTIP2,Abemaciclib,0.85,90.47275645327
EDIL3,Abemaciclib,0.85,90.47275645327
ITGB5,Abemaciclib,0.85,91.6685507334855
TRIB2,Abemaciclib,0.85,90.47275645327
THBD,Abemaciclib,1,98.9545327693069
GRB7,Abemaciclib,0.9,85.3198951014858
MAST3,Abemaciclib,0.9,85.3198951014858
PERP,Abemaciclib,0.9,85.3198951014858
PRODH,Abemaciclib,0.9,85.3198951014858
SH3BGRL2,Abemaciclib,0.9,85.3198951014858
ST6GAL1,Abemaciclib,0.9,85.3198951014858
TSTA3,Abemaciclib,0.9,100
MATN2,Abemaciclib,0.85,80.3626315121567
MMP14,Abemaciclib,0.85,80.3626315121567
ALOX12B,Abemaciclib,1,82.7940424902625
BTG2,Abemaciclib,1,82.7940424902625
CYB5A,Abemaciclib,1,100
IDUA,Abemaciclib,1,82.7940424902625
IFNGR1,Abemaciclib,1,82.7940424902625
PHEX,Abemaciclib,1,82.7940424902625
STAG3,Abemaciclib,1,82.7940424902625
CDA,Abemaciclib,0.825,100
INSIG1,Abemaciclib,0.825,90.7974704335982
TSPAN13,Abemaciclib,0.825,89.6282908546488
ADAM9,Abemaciclib,0.8,100
ADORA2B,Abemaciclib,0.8,100
ID2,Abemaciclib,0.8,100
NEXN,Abemaciclib,0.8,100
RAP1GAP,Abemaciclib,0.8,100
TPD52L1,Abemaciclib,0.8,100
COCH,Abemaciclib,0.9,98.7123214189051
CPM,Abemaciclib,0.9,85.3198951014858
DHRS3,Abemaciclib,1,81.1581888966011
ENO2,Abemaciclib,1,90.7990428966745
ICAM2,Abemaciclib,1,90.7990428966745
SGCB,Abemaciclib,1,100
CDH2,Abemaciclib,0.95,89.7293861310516
KRT17,Abemaciclib,0.8,82.5592575998131
PTX3,Abemaciclib,0.8,82.5592575998131
G6PD,Abemaciclib,0.825,89.8804677946609
ENPP1,Abemaciclib,0.95,89.6282908546488
BCAR1,Abemaciclib,0.8,89.8482126339166
CDSN,Abemaciclib,0.8,89.8482126339166
JAG2,Abemaciclib,0.8,89.8482126339166
MMP9,Abemaciclib,0.8,89.8482126339166
PRDM1,Abemaciclib,0.8,87.5343002547495
SAR1B,Abemaciclib,0.8,89.8482126339166
KRT13,Abemaciclib,0.925,85.3198951014858
SYK,Abemaciclib,0.925,85.3198951014858
ITGA2,Abemaciclib,0.8,84.9318360623059
MPZL2,Abemaciclib,0.8,84.9318360623059
RRAD,Abemaciclib,0.8,84.9318360623059
TNFRSF21,Abemaciclib,0.8,84.9318360623059
GADD45G,Abemaciclib,0.85,88.6912564443331
TALDO1,Abemaciclib,0.85,87.5343002547495
PCDH7,Afatinib,1,89.8482126339166
PTGER4,Afatinib,1,89.8482126339166
SPP1,Afatinib,1,100
TRIM29,Afatinib,1,87.5343002547495
CD44,Afatinib,0.888888888888889,89.5055923838693
CDK5R1,Afatinib,0.888888888888889,100
DLG1,Afatinib,0.888888888888889,90.6886034870538
ECI2,Afatinib,0.888888888888889,90.6886034870538
ENO2,Afatinib,0.888888888888889,90.6886034870538
GAD1,Afatinib,0.888888888888889,90.6886034870538
IGFBP4,Afatinib,0.888888888888889,100
LIMA1,Afatinib,0.888888888888889,90.6886034870538
MMP14,Afatinib,0.888888888888889,88.3225812806847
UROD,Afatinib,0.888888888888889,83.945178790151
ETFDH,Afatinib,0.833333333333333,89.6282908546488
FOXO3,Afatinib,0.833333333333333,90.7974704335982
NOTCH1,Afatinib,0.833333333333333,100
TGFBI,Afatinib,0.833333333333333,90.7974704335982
TP53,Afatinib,0.833333333333333,89.6282908546488
CDKN2B,Afatinib,0.888888888888889,90.7974704335982
DUSP1,Afatinib,0.888888888888889,90.7974704335982
TGM2,Afatinib,0.888888888888889,89.6282908546488
CDH4,Afatinib,1,83.2872547429521
DHRS3,Afatinib,1,100
GCNT2,Afatinib,1,90.856955931483
ACAA1,Afatinib,1,91.1314893509981
CD274,Afatinib,1,81.6795963356859
DECR1,Afatinib,1,100
FUCA1,Afatinib,1,82.7450870991702
HSPB8,Afatinib,1,81.6795963356859
METAP1,Afatinib,1,99.1352333522779
PHLDA2,Afatinib,1,81.6795963356859
RHOBTB3,Afatinib,1,82.7450870991702
B4GALT5,Afatinib,1,97.3565649437615
CASP1,Afatinib,1,100
CCR7,Afatinib,1,84.9318360623059
CD55,Afatinib,1,84.9318360623059
CD82,Afatinib,1,84.9318360623059
CDH13,Afatinib,1,100
D2HGDH,Afatinib,1,84.9318360623059
FHL2,Afatinib,1,84.9318360623059
GADD45A,Afatinib,1,84.9318360623059
GM2A,Afatinib,1,84.9318360623059
GSTZ1,Afatinib,1,84.9318360623059
HNF4A,Afatinib,1,84.9318360623059
IER5,Afatinib,1,84.9318360623059
INHBA,Afatinib,1,97.3565649437615
SERPINB2,Afatinib,1,84.9318360623059
SGK1,Afatinib,1,84.9318360623059
UGDH,Afatinib,1,84.9318360623059
CBR1,Afatinib,1,81.6569152641594
CDKN2A,Afatinib,1,81.6569152641594
ECH1,Afatinib,1,81.6569152641594
HPGD,Afatinib,1,81.6569152641594
IL17RB,Afatinib,1,100
JAK2,Afatinib,1,81.6569152641594
KRT17,Afatinib,1,81.6569152641594
NXT1,Afatinib,1,81.6569152641594
PHLDA3,Afatinib,1,94.4743738379448
ST6GALNAC2,Afatinib,1,94.4743738379448
TFPI2,Afatinib,1,81.6569152641594
CNN2,Afatinib,0.888888888888889,98.695523960347
FARP1,Afatinib,0.888888888888889,85.1283966504887
FUT4,Afatinib,0.888888888888889,85.1283966504887
ICAM1,Afatinib,0.888888888888889,85.1283966504887
KRT15,Afatinib,0.888888888888889,85.1283966504887
MDH2,Afatinib,0.888888888888889,85.1283966504887
PARD6G,Afatinib,0.888888888888889,85.1283966504887
SESN1,Afatinib,0.888888888888889,91.2597222855913
KYNU,Afatinib,0.833333333333333,86.810188135901
NQO1,Afatinib,0.833333333333333,86.810188135901
PGD,Afatinib,0.833333333333333,86.810188135901
TPD52L1,Afatinib,0.833333333333333,100
AHCY,Afatinib,1,98.695523960347
BMP2,Afatinib,1,85.1283966504887
ECHS1,Afatinib,1,100
HADH,Afatinib,1,85.1283966504887
HIBCH,Afatinib,1,85.1283966504887
SLC26A2,Afatinib,1,85.1283966504887
SLC35B1,Afatinib,1,85.1283966504887
XBP1,Afatinib,1,85.1283966504887
ABCC3,Afatinib,0.888888888888889,84.1570114309907
ACSS1,Afatinib,0.888888888888889,84.1570114309907
ID2,Afatinib,0.888888888888889,84.1570114309907
PDLIM5,Afatinib,0.888888888888889,84.1570114309907
RHOB,Afatinib,0.888888888888889,84.1570114309907
SPARC,Afatinib,0.888888888888889,84.1570114309907
SPHK1,Afatinib,0.888888888888889,84.1570114309907
TNC,Afatinib,0.888888888888889,84.1570114309907
UBE2L6,Afatinib,0.944444444444444,80.3593209314697
FOXC1,Afatinib,1,100
JUNB,Afatinib,1,90.7974704335982
GSR,Afatinib,0.888888888888889,100
KLF9,Afatinib,0.888888888888889,84.0627477508349
NFS1,Afatinib,0.888888888888889,84.0627477508349
WRAP73,Afatinib,0.888888888888889,84.0627477508349
ZFP36,Afatinib,0.888888888888889,100
RCAN1,Afatinib,0.944444444444444,98.7123214189051
RDH11,Afatinib,0.944444444444444,85.3198951014858
SUCLG2,Afatinib,0.944444444444444,85.3198951014858
TPBG,Afatinib,1,89.5055923838693
AADAT,Afatinib,1,90.7974704335982
NTHL1,Afatinib,1,89.6282908546488
IL4R,Afatinib,1,83.945178790151
AFF1,Afatinib,1,98.7123214189051
BTG2,Afatinib,1,85.3198951014858
CPT1A,Afatinib,1,85.3198951014858
CYP4F11,Afatinib,1,85.3198951014858
ELOVL5,Afatinib,1,85.3198951014858
MIF,Afatinib,1,85.3198951014858
PTS,Afatinib,1,85.3198951014858
AKR1C3,Afatinib,0.888888888888889,89.5055923838693
LOXL2,Afatinib,0.916666666666667,90.47275645327
ESRP2,Afatinib,0.833333333333333,86.9730226388138
SLC3A2,Afatinib,1,100
SDHD,Afatinib,1,87.0226086298244
SLC7A5,Afatinib,1,87.0226086298244
PTX3,Afatinib,1,90.6886034870538
CXCL1,Afatinib,0.888888888888889,85.3198951014858
NMU,Afatinib,0.888888888888889,85.3198951014858
ALDH2,Afatinib,1,81.4280351925495
ECI1,Afatinib,1,81.4280351925495
JAG1,Afatinib,0.944444444444444,100
TGFB2,Afatinib,1,89.8482126339166
SMOX,Afatinib,1,85.3198951014858
IER2,Afatinib,1,100
LPAR1,Afatinib,1,89.7293861310516
IL1B,Afatinib,0.888888888888889,100
EMP3,Afatinib,1,83.1171348572615
SDC1,Afatinib,0.888888888888889,80.7359322169046
GCH1,Afatinib,1,86.4328726901418
SLC2A6,Afatinib,1,86.4328726901418
TRIP10,Afatinib,1,86.4328726901418
IL23A,Afatinib,0.888888888888889,100
BHLHE40,Afatinib,1,82.5592575998131
MCCC2,Afatinib,1,82.5592575998131
IGFBP1,Afatinib,1,85.3198951014858
BLCAP,Afatinib,1,100
MYC,Afatinib,1,86.6708360951504
THSD4,Afatinib,1,86.6708360951504
ACADVL,Afatinib,1,91.4905375021701
VEGFC,Afatinib,1,92.6997839729068
RAP1GAP,Afatinib,1,85.1283966504887
CBX3,Azacitidine,0.9,86.2535535904251
COX6C,Azacitidine,0.9,86.2535535904251
ETS2,Azacitidine,0.9,100
PCDH7,Azacitidine,0.9,86.2535535904251
PTGER4,Azacitidine,0.9,86.2535535904251
RRAD,Azacitidine,0.9,86.2535535904251
TFPI2,Azacitidine,0.9,86.2535535904251
VEGFC,Azacitidine,0.9,86.2535535904251
DDIT4,Azacitidine,0.85,88.6912564443331
HKDC1,Azacitidine,0.85,98.9545327693069
IL15RA,Azacitidine,0.85,88.6912564443331
PHLDA3,Azacitidine,0.85,98.9545327693069
RHBDF2,Azacitidine,0.85,89.8482126339166
SIK1,Azacitidine,0.85,100
CDKN2B,Azacitidine,0.85,85.1283966504887
COL5A2,Azacitidine,0.85,85.1283966504887
FBLN1,Azacitidine,0.85,85.1283966504887
FBN1,Azacitidine,0.85,100
FDFT1,Azacitidine,0.85,100
FZD5,Azacitidine,0.85,85.1283966504887
GNA15,Azacitidine,0.85,85.1283966504887
ICAM1,Azacitidine,0.85,100
ITGB5,Azacitidine,0.85,85.1283966504887
JAG2,Azacitidine,0.85,85.1283966504887
LGALS1,Azacitidine,0.85,85.1283966504887
MAPKAPK3,Azacitidine,0.85,85.1283966504887
MCM4,Azacitidine,0.85,85.1283966504887
NOC4L,Azacitidine,0.85,85.1283966504887
PLK1,Azacitidine,0.85,85.1283966504887
PTPN6,Azacitidine,0.85,85.1283966504887
TIMP3,Azacitidine,0.85,98.695523960347
TNFAIP2,Azacitidine,0.85,85.1283966504887
TNFAIP8,Azacitidine,0.85,85.1283966504887
UNG,Azacitidine,0.85,100
WDR74,Azacitidine,0.85,85.1283966504887
ZNF185,Azacitidine,0.85,85.1283966504887
ELF3,Azacitidine,1,88.6912564443331
KCNK5,Azacitidine,1,88.6912564443331
MYL9,Azacitidine,1,89.8482126339166
SERPINA1,Azacitidine,1,89.8482126339166
SGCB,Azacitidine,1,100
TBC1D30,Azacitidine,1,89.8482126339166
TPM2,Azacitidine,1,88.6912564443331
TRIM29,Azacitidine,1,89.8482126339166
DHCR7,Azacitidine,1,84.7626563379758
INHBB,Azacitidine,1,83.6711857675446
KRT15,Azacitidine,1,100
KRT17,Azacitidine,1,92.8458478057994
SORD,Azacitidine,1,84.7626563379758
TSPAN1,Azacitidine,1,84.7626563379758
AQP3,Azacitidine,0.85,89.3822074633053
CD82,Azacitidine,0.85,89.3822074633053
COL12A1,Azacitidine,0.85,89.3822074633053
F2RL1,Azacitidine,0.85,100
FERMT2,Azacitidine,0.85,81.6926751446044
IL1B,Azacitidine,0.85,88.0332190011819
